Date,Open,High,Low,Close,Adj Close,Volume
2016-06-06,1382.500000,1394.250000,1367.569946,1386.930054,1293.400024,204054
2016-06-07,1388.500000,1405.000000,1388.500000,1397.569946,1303.322266,803048
2016-06-08,1390.069946,1403.500000,1380.030029,1385.199951,1291.786621,260920
2016-06-09,1385.000000,1397.750000,1376.030029,1380.619995,1287.515381,394974
2016-06-10,1387.000000,1387.000000,1362.030029,1364.619995,1272.594238,184010
2016-06-13,1358.000000,1358.000000,1330.000000,1339.099976,1248.795532,222102
2016-06-14,1338.000000,1348.250000,1333.750000,1340.569946,1250.166382,216544
2016-06-15,1349.500000,1349.500000,1335.619995,1341.300049,1250.847046,219818
2016-06-16,1340.000000,1348.099976,1336.030029,1343.449951,1252.852051,201042
2016-06-17,1345.000000,1349.250000,1318.400024,1319.800049,1230.796997,570482
2016-06-20,1312.500000,1316.000000,1293.750000,1311.099976,1222.683594,361262
2016-06-21,1297.500000,1303.500000,1280.150024,1282.430054,1195.947144,917576
2016-06-22,1284.199951,1310.000000,1280.550049,1306.849976,1218.720093,587516
2016-06-23,1309.000000,1321.000000,1304.650024,1312.719971,1224.194580,326746
2016-06-24,1290.000000,1322.199951,1259.550049,1316.469971,1227.691406,295184
2016-06-27,1317.500000,1347.969971,1312.650024,1341.650024,1251.173340,340512
2016-06-28,1343.500000,1376.800049,1340.030029,1374.069946,1281.406982,446176
2016-06-29,1374.900024,1389.050049,1353.380005,1385.699951,1292.252808,280750
2016-06-30,1389.949951,1394.719971,1365.500000,1379.469971,1286.442871,744744
2016-07-01,1376.880005,1408.550049,1375.780029,1404.150024,1309.458862,433848
2016-07-04,1419.000000,1425.000000,1408.180054,1420.449951,1324.659424,293932
2016-07-05,1417.500000,1430.000000,1405.000000,1418.119995,1322.486572,151092
2016-07-07,1415.000000,1420.000000,1401.000000,1404.569946,1309.850342,253010
2016-07-08,1404.569946,1418.000000,1396.199951,1402.530029,1307.947876,191400
2016-07-11,1409.000000,1434.219971,1408.800049,1429.619995,1333.211060,357570
2016-07-12,1437.000000,1454.280029,1421.880005,1428.599976,1332.259766,348976
2016-07-13,1434.000000,1442.900024,1414.949951,1433.800049,1337.109009,258710
2016-07-14,1445.000000,1446.500000,1427.469971,1429.880005,1333.453247,263182
2016-07-15,1430.000000,1438.319946,1405.599976,1410.300049,1315.193848,201544
2016-07-18,1418.530029,1424.349976,1404.469971,1408.150024,1313.188965,193178
2016-07-19,1410.099976,1413.969971,1376.680054,1380.030029,1286.965210,462542
2016-07-20,1387.449951,1409.000000,1380.000000,1404.719971,1309.990234,177584
2016-07-21,1407.400024,1420.000000,1395.000000,1407.380005,1312.470947,291874
2016-07-22,1408.000000,1427.969971,1404.000000,1425.449951,1329.322144,359138
2016-07-25,1425.000000,1436.849976,1415.150024,1425.199951,1329.089233,238944
2016-07-26,1425.199951,1428.300049,1405.500000,1411.900024,1316.686035,285698
2016-07-27,1424.000000,1424.000000,1397.500000,1406.400024,1311.556885,210406
2016-07-28,1407.500000,1447.000000,1405.099976,1432.650024,1336.036743,488140
2016-07-29,1422.000000,1472.099976,1421.550049,1466.900024,1387.344482,431340
2016-08-01,1473.949951,1496.949951,1425.500000,1441.099976,1362.943481,342678
2016-08-02,1453.500000,1456.000000,1435.849976,1440.349976,1362.234375,185460
2016-08-03,1449.000000,1449.000000,1410.030029,1415.219971,1338.467285,363710
2016-08-04,1425.000000,1446.500000,1405.969971,1440.430054,1362.310059,395460
2016-08-05,1440.000000,1450.400024,1424.469971,1442.300049,1364.078613,246052
2016-08-08,1441.949951,1658.619995,1440.050049,1576.069946,1490.593628,3164246
2016-08-09,1575.000000,1586.000000,1544.099976,1564.219971,1479.386353,792592
2016-08-10,1564.500000,1565.819946,1530.099976,1551.680054,1467.526611,341644
2016-08-11,1560.000000,1638.500000,1557.400024,1618.449951,1530.675537,1526490
2016-08-12,1614.949951,1657.500000,1594.219971,1642.550049,1553.468384,714062
2016-08-16,1649.050049,1670.000000,1625.000000,1636.030029,1547.301880,338170
2016-08-17,1632.500000,1679.119995,1632.500000,1668.349976,1577.869141,524616
2016-08-18,1670.000000,1685.000000,1652.530029,1664.780029,1574.492676,304792
2016-08-19,1665.000000,1685.000000,1658.250000,1675.219971,1584.366455,243238
2016-08-22,1675.000000,1696.449951,1672.119995,1684.619995,1593.256714,320086
2016-08-23,1684.000000,1689.000000,1670.000000,1680.680054,1589.530518,148404
2016-08-24,1684.500000,1742.000000,1670.000000,1716.469971,1623.379272,683696
2016-08-25,1723.500000,1749.500000,1721.569946,1732.150024,1638.208984,742678
2016-08-26,1742.349976,1742.349976,1696.030029,1718.849976,1625.630249,287814
2016-08-29,1703.000000,1724.500000,1695.000000,1703.180054,1610.810059,147830
2016-08-30,1705.000000,1736.000000,1705.000000,1721.599976,1628.231079,149210
2016-08-31,1721.099976,1742.969971,1710.000000,1730.280029,1636.440430,289590
2016-09-01,1733.000000,1733.000000,1700.099976,1704.680054,1612.228882,177454
2016-09-02,1700.500000,1718.469971,1671.000000,1677.469971,1586.494507,291320
2016-09-06,1687.500000,1732.000000,1672.180054,1728.550049,1634.804199,350724
2016-09-07,1701.000000,1751.750000,1701.000000,1744.469971,1649.860840,399164
2016-09-08,1733.500000,1744.219971,1725.000000,1736.050049,1641.897461,215838
2016-09-09,1750.000000,1750.000000,1722.500000,1727.530029,1633.839478,153736
2016-09-12,1700.000000,1724.949951,1685.000000,1713.969971,1621.014893,235320
2016-09-14,1713.500000,1775.000000,1713.430054,1769.949951,1673.958740,437528
2016-09-15,1774.969971,1792.119995,1762.500000,1765.800049,1670.033936,306494
2016-09-16,1770.000000,1781.000000,1726.699951,1737.750000,1643.505249,312602
2016-09-19,1737.750000,1743.000000,1700.000000,1705.800049,1613.288086,348164
2016-09-20,1708.000000,1725.469971,1699.500000,1705.250000,1612.768066,295488
2016-09-21,1705.500000,1722.500000,1678.599976,1699.050049,1606.904297,363438
