Date,Declination
1602-07-07 00:00:00,-2.4989166666666667
1602-07-14 00:00:00,-4.143944444444445
1602-07-21 00:00:00,-5.816027777777777
1602-07-28 00:00:00,-7.503361111111111
1602-08-04 00:00:00,-9.192638888888888
1602-08-11 00:00:00,-10.87125
1602-08-18 00:00:00,-12.526444444444445
1602-08-25 00:00:00,-14.143611111111111
1602-09-01 00:00:00,-15.70661111111111
1602-09-08 00:00:00,-17.199277777777777
1602-09-15 00:00:00,-18.605305555555557
1602-09-22 00:00:00,-19.907027777777778
1602-09-29 00:00:00,-21.086055555555554
1602-10-06 00:00:00,-22.124333333333333
1602-10-13 00:00:00,-23.0045
1602-10-20 00:00:00,-23.709833333333332
1602-10-27 00:00:00,-24.224944444444443
1602-11-03 00:00:00,-24.536833333333334
1602-11-10 00:00:00,-24.635055555555557
